100VIRUSput.1	U31787	Betapapillomavirus 2
100VIRUSput.2	U31787	Betapapillomavirus 2
100VIRUSput.3	U31787	Betapapillomavirus 2
101VIRUSput.1	X74467	Betapapillomavirus 1
101VIRUSput.2	X74467	Betapapillomavirus 1
102VIRUSput.1	MF588682	Betapapillomavirus
102VIRUSput.2	MF588682	Betapapillomavirus
102VIRUSput.3	MF588682	Betapapillomavirus
103VIRUSput.1	MH777171	Gammapapillomavirus
103VIRUSput.2	MH777171	Gammapapillomavirus
103VIRUSput.3	MH777171	Gammapapillomavirus
104VIRUSput.1	X74469	Betapapillomavirus 2
104VIRUSput.2	X74469	Betapapillomavirus 2
105VIRUSput.1	GQ845442	Betapapillomavirus 2
105VIRUSput.2	GQ845442	Betapapillomavirus 2
105VIRUSput.3	GQ845442	Betapapillomavirus 2
106VIRUSput	M17463	Betapapillomavirus 1
107VIRUSput.1	M32305	Betapapillomavirus 1
107VIRUSput.2	M32305	Betapapillomavirus 1
107VIRUSput.3	M32305	Betapapillomavirus 1
107VIRUSput.4	M32305	Betapapillomavirus 1
108VIRUSput	M17463	Betapapillomavirus 1
109VIRUSput	U31782	Betapapillomavirus 1
110VIRUSput.1	GQ845441	Gammapapillomavirus 8
110VIRUSput.2	GQ845441	Gammapapillomavirus 8
111VIRUSput	MF588682	Betapapillomavirus
112VIRUSput.1	DQ080079	Alphapapillomavirus 7
112VIRUSput.2	DQ080079	Alphapapillomavirus 7
112VIRUSput.3	M62849	Alphapapillomavirus 7
113VIRUSput.1	X74469	Betapapillomavirus 2
113VIRUSput.2	X74469	Betapapillomavirus 2
113VIRUSput.3	X74469	Betapapillomavirus 2
114VIRUSput.1	U31778	Betapapillomavirus 1
114VIRUSput.2	U31778	Betapapillomavirus 1
114VIRUSput.3	U31778	Betapapillomavirus 1
115VIRUSput.1	M12737	Betapapillomavirus 1
115VIRUSput.2	M12737	Betapapillomavirus 1
116VIRUSput.1	GU117634	Gammapapillomavirus 7
116VIRUSput.2	GU117634	Gammapapillomavirus 7
117VIRUSput	GQ246951	Betapapillomavirus 1
118VIRUSput	GQ246951	Betapapillomavirus 1
119VIRUSput	GQ845441	Gammapapillomavirus 8
11VIRUSput	M14119	Alphapapillomavirus 10
120VIRUSput	HM999993	Gammapapillomavirus 11
121VIRUSput.1	MF588758	Gammapapillomavirus
121VIRUSput.2	MF588758	Gammapapillomavirus
121VIRUSput.3	MF588758	Gammapapillomavirus
122VIRUSput.1	U31781	Betapapillomavirus 2
122VIRUSput.2	U31781	Betapapillomavirus 2
123VIRUSput.1	X74480	Betapapillomavirus 3
123VIRUSput.2	X74480	Betapapillomavirus 3
124VIRUSput	U31779	Betapapillomavirus 1
125VIRUSput.1	U31782	Betapapillomavirus 1
125VIRUSput.2	U31782	Betapapillomavirus 1
126VIRUSput	MF588713	Gammapapillomavirus
127VIRUSput	GU117634	Gammapapillomavirus 7
128VIRUSput	FM955839	Betapapillomavirus 2
129VIRUSput	M17463	Betapapillomavirus 1
12VIRUSput.1	M14119	Alphapapillomavirus 10
12VIRUSput.2	M14119	Alphapapillomavirus 10
12VIRUSput.3	M14119	Alphapapillomavirus 10
12VIRUSput.4	M14119	Alphapapillomavirus 10
12VIRUSput.5	M14119	Alphapapillomavirus 10
12VIRUSput.6	M14119	Alphapapillomavirus 10
130VIRUSput	X74464	Betapapillomavirus 2
131VIRUSput.1	KP692115	Gammapapillomavirus 27
131VIRUSput.2	KP692115	Gammapapillomavirus 27
132VIRUSput	MF509816	Gammapapillomavirus
133VIRUSput	HM999998	Gammapapillomavirus 15
134VIRUSput	MF588718	Gammapapillomavirus
135VIRUSput	M17463	Betapapillomavirus 1
136VIRUSput	MF588711	Gammapapillomavirus
137VIRUSput	MH777333	Gammapapillomavirus
138VIRUSput	FM955840	Betapapillomavirus 2
139VIRUSput	GQ246951	Betapapillomavirus 1
13VIRUSput.1	X74470	Betapapillomavirus 1
13VIRUSput.2	X74470	Betapapillomavirus 1
13VIRUSput.3	X74470	Betapapillomavirus 1
140VIRUSput	MF588678	Betapapillomavirus
141VIRUSput	MF588683	Betapapillomavirus
